a, b, c, d, e, f, g, h, i
0.820103, 0.008890, -0.581538, 0.813519, 0.000302, 8.000000, 0.906268, 0.820468, 0.008859
0.813549, 0.581496, 0.000628, 7.000000, 0.906093, 0.820712, 0.008827, -0.581430, 0.813596
0.000301, 8.000000, 0.906601, 0.821075, 0.008796, 0.813627, 0.581387, 0.000624, 7.000000
0.906427, 0.821319, 0.008764, -0.581320, 0.813675, 0.000299, 8.000000, 0.906932, 0.821679
0.008733, 0.813706, 0.581276, 0.000621, 7.000000, 0.906759, 0.821922, 0.008702, -0.581206
0.813756, 0.000298, 8.000000, 0.907261, 0.822281, 0.008671, 0.813788, 0.581162, 0.000617
7.000000, 0.907089, 0.822522, 0.008641, -0.581091, 0.813839, 0.000296, 8.000000, 0.907589
0.822879, 0.008610, 0.813871, 0.581046, 0.000614, 7.000000, 0.907417, 0.823119, 0.008580
-0.580973, 0.813923, 0.000295, 8.000000, 0.907915, 0.823473, 0.008550, 0.813956, 0.580927
0.000611, 7.000000, 0.907744, 0.823712, 0.008519, -0.580852, 0.814009, 0.000294, 8.000000
0.908238, 0.824065, 0.008489, 0.814042, 0.580806, 0.000607, 7.000000, 0.908069, 0.824303
0.008460, -0.580729, 0.814097, 0.000292, 8.000000, 0.908560, 0.824654, 0.008430, 0.814130
0.580682, 0.000604, 7.000000, 0.908392, 0.824891, 0.008400, -0.580604, 0.814186, 0.000291
8.000000, 0.908881, 0.825239, 0.008371, 0.814220, 0.580556, 0.000601, 7.000000, 0.908713
0.825475, 0.008341, -0.580476, 0.814277, 0.000290, 8.000000, 0.909199, 0.825822, 0.008312
0.814312, 0.580428, 0.000597, 7.000000, 0.909032, 0.826057, 0.008283, -0.580346, 0.814370
0.000288, 8.000000, 0.909516, 0.826401, 0.008254, 0.814405, 0.580297, 0.000594, 7.000000
0.909349, 0.826635, 0.008225, -0.580214, 0.814464, 0.000287, 8.000000, 0.909831, 0.826978
0.008197, 0.814500, 0.580164, 0.000591, 7.000000, 0.909665, 0.827211, 0.008168, -0.580079
0.814560, 0.000286, 8.000000, 0.910144, 0.827552, 0.008140, 0.814596, 0.580029, 0.000588
7.000000, 0.909979, 0.827783, 0.008112, -0.579942, 0.814658, 0.000284, 8.000000, 0.910456
0.828122, 0.008083, 0.814694, 0.579892, 0.000585, 7.000000, 0.910292, 0.828353, 0.008055
-0.579803, 0.814757, 0.000283, 8.000000, 0.910765, 0.828690, 0.008027, 0.814793, 0.579752
0.000582, 7.000000, 0.910602, 0.828919, 0.008000, -0.579662, 0.814857, 0.000282, 8.000000
0.911073, 0.829254, 0.007972, 0.814894, 0.579610, 0.000578, 7.000000, 0.910911, 0.829483
0.007944, -0.579519, 0.814959, 0.000280, 8.000000, 0.911380, 0.829816, 0.007917, 0.814996
0.579466, 0.000575, 7.000000, 0.911218, 0.830044, 0.007890, -0.579373, 0.815062, 0.000279
8.000000, 0.911685, 0.830375, 0.007863, 0.815100, 0.579320, 0.000572, 7.000000, 0.911524
0.830602, 0.007836, -0.579226, 0.815167, 0.000278, 8.000000, 0.911988, 0.830931, 0.007809
0.815205, 0.579172, 0.000569, 7.000000, 0.911828, 0.831157, 0.007782, -0.579076, 0.815273
0.000277, 8.000000, 0.912289, 0.831484, 0.007755, 0.815312, 0.579022, 0.000566, 7.000000
0.912130, 0.831709, 0.007729, -0.578925, 0.815381, 0.000275, 8.000000, 0.912589, 0.832035
0.007702, 0.815420, 0.578870, 0.000563, 7.000000, 0.912430, 0.832258, 0.007676, -0.578771
0.815490, 0.000274, 8.000000, 0.912887, 0.832582, 0.007650, 0.815529, 0.578717, 0.000560
7.000000, 0.912729, 0.832805, 0.007623, -0.578616, 0.815600, 0.000273, 8.000000, 0.913184
0.833127, 0.007597, 0.815639, 0.578561, 0.000557, 7.000000, 0.913026, 0.833349, 0.007572
-0.578459, 0.815712, 0.000272, 8.000000, 0.913478, 0.833669, 0.007546, 0.815751, 0.578403
0.000554, 7.000000, 0.913322, 0.833890, 0.007520, -0.578300, 0.815824, 0.000270, 8.000000
0.913772, 0.834208, 0.007495, 0.815864, 0.578243, 0.000551, 7.000000, 0.913616, 0.834428
0.007469, -0.578139, 0.815939, 0.000269, 8.000000, 0.914064, 0.834745, 0.007444, 0.815979
0.578082, 0.000548, 7.000000, 0.913909, 0.834963, 0.007419, -0.577976, 0.816054, 0.000268
8.000000, 0.914354, 0.835279, 0.007394, 0.816094, 0.577919, 0.000545, 7.000000, 0.914200
0.835496, 0.007369, -0.577811, 0.816170, 0.000267, 8.000000, 0.914642, 0.835810, 0.007344
0.816211, 0.577754, 0.000542, 7.000000, 0.914489, 0.836026, 0.007319, -0.577645, 0.816288
0.000266, 8.000000, 0.914929, 0.836338, 0.007294, 0.816329, 0.577587, 0.000540, 7.000000
0.914777, 0.836554, 0.007270, -0.577477, 0.816407, 0.000264, 8.000000, 0.915215, 0.836864
0.007245, 0.816448, 0.577418, 0.000537, 7.000000, 0.915063, 0.837079, 0.007221, -0.577307
0.816527, 0.000263, 8.000000, 0.915499, 0.837387, 0.007197, 0.816569, 0.577248, 0.000534
7.000000, 0.915348, 0.837601, 0.007173, -0.577136, 0.816648, 0.000262, 8.000000, 0.915781
0.837907, 0.007149, 0.816690, 0.577077, 0.000531, 7.000000, 0.915631, 0.838120, 0.007125
-0.576963, 0.816770, 0.000261, 8.000000, 0.916062, 0.838425, 0.007101, 0.816813, 0.576903
0.000528, 7.000000, 0.915913, 0.838637, 0.007077, -0.576788, 0.816894, 0.000260, 8.000000
0.916342, 0.838940, 0.007054, 0.816936, 0.576728, 0.000525, 7.000000, 0.916193, 0.839151
0.007030, -0.576612, 0.817018, 0.000259, 8.000000, 0.916620, 0.839453, 0.007007, 0.817061
0.576552, 0.000523, 7.000000, 0.916471, 0.839663, 0.006984, -0.576435, 0.817143, 0.000257
8.000000, 0.916896, 0.839963, 0.006960, 0.817186, 0.576374, 0.000520, 7.000000, 0.916749
0.840172, 0.006937, -0.576255, 0.817270, 0.000256, 8.000000, 0.917171, 0.840470, 0.006914
0.817313, 0.576194, 0.000517, 7.000000, 0.917024, 0.840679, 0.006891, -0.576075, 0.817397
0.000255, 8.000000, 0.917445, 0.840975, 0.006869, 0.817441, 0.576013, 0.000515, 7.000000
0.917299, 0.841183, 0.006846, -0.575892, 0.817525, 0.000254, 8.000000, 0.917717, 0.841478
0.006823, 0.817569, 0.575831, 0.000512, 7.000000, 0.917572, 0.841685, 0.006801, -0.575709
0.817655, 0.000253, 8.000000, 0.917988, 0.841978, 0.006778, 0.817699, 0.575647, 0.000509
7.000000, 0.917843, 0.842184, 0.006756, -0.575524, 0.817785, 0.000252, 8.000000, 0.918257
0.842475, 0.006734, 0.817829, 0.575461, 0.000507, 7.000000, 0.918113, 0.842680, 0.006712
-0.575338, 0.817916, 0.000251, 8.000000, 0.918525, 0.842970, 0.006690, 0.817960, 0.575275
0.000504, 7.000000, 0.918382, 0.843174, 0.006668, -0.575150, 0.818048, 0.000250, 8.000000
0.918792, 0.843463, 0.006646, 0.818092, 0.575087, 0.000501, 7.000000, 0.918649, 0.843666
0.006624, -0.574961, 0.818181, 0.000249, 8.000000, 0.919057, 0.843953, 0.006603, 0.818226
0.574897, 0.000499, 7.000000, 0.918915, 0.844155, 0.006581, -0.574771, 0.818315, 0.000248
8.000000, 0.919321, 0.844441, 0.006560, 0.818359, 0.574707, 0.000496, 7.000000, 0.919179
0.844642, 0.006538, -0.574579, 0.818449, 0.000246, 8.000000, 0.919583, 0.844926, 0.006517
0.818494, 0.574515, 0.000494, 7.000000, 0.919442, 0.845127, 0.006496, -0.574386, 0.818584
0.000245, 8.000000, 0.919844, 0.845409, 0.006475, 0.818630, 0.574322, 0.000491, 7.000000
0.919704, 0.845609, 0.006454, -0.574192, 0.818721, 0.000244, 8.000000, 0.920104, 0.845889
0.006433, 0.818766, 0.574128, 0.000489, 7.000000, 0.919964, 0.846089, 0.006412, -0.573997
0.818857, 0.000243, 8.000000, 0.920362, 0.846368, 0.006391, 0.818903, 0.573932, 0.000486
7.000000, 0.920223, 0.846566, 0.006370, -0.573801, 0.818995, 0.000242, 8.000000, 0.920619
0.846843, 0.006350, 0.819041, 0.573736, 0.000484, 7.000000, 0.920481, 0.847041, 0.006329
-0.573603, 0.819133, 0.000241, 8.000000, 0.920875, 0.847317, 0.006309, 0.819179, 0.573538
0.000481, 7.000000, 0.920737, 0.847514, 0.006289, -0.573405, 0.819272, 0.000240, 8.000000
0.921129, 0.847788, 0.006268, 0.819318, 0.573339, 0.000479, 7.000000, 0.920992, 0.847984
0.006248, -0.573205, 0.819412, 0.000239, 8.000000, 0.921382, 0.848257, 0.006228, 0.819458
0.573139, 0.000476, 7.000000, 0.921245, 0.848453, 0.006208, -0.573004, 0.819552, 0.000238
8.000000, 0.921634, 0.848724, 0.006188, 0.819598, 0.572938, 0.000474, 7.000000, 0.921498
0.848918, 0.006168, -0.572803, 0.819693, 0.000237, 8.000000, 0.921884, 0.849188, 0.006149
0.819740, 0.572736, 0.000471, 7.000000, 0.921749, 0.849382, 0.006129, -0.572600, 0.819835
0.000236, 8.000000, 0.922133, 0.849651, 0.006109, 0.819881, 0.572534, 0.000469, 7.000000
0.921999, 0.849844, 0.006090, -0.572396, 0.819977, 0.000235, 8.000000, 0.922381, 0.850111
0.006070, 0.820024, 0.572330, 0.000467, 8.000000, 0.922247, 0.850303, 0.006051, -0.572261
0.820071, 0.000234, 9.000000, 0.922628, 0.850569, 0.006032, 0.820095, 0.572228, 0.000464
8.000000, 0.922495, 0.850760, 0.006013, -0.572160, 0.820142, 0.000233, 9.000000, 0.922874
0.851025, 0.005994, 0.820165, 0.572127, 0.000462, 8.000000, 0.922741, 0.851215, 0.005975
-0.572059, 0.820213, 0.000232, 9.000000, 0.923118, 0.851478, 0.005956, 0.820236, 0.572026
0.000460, 8.000000, 0.922986, 0.851668, 0.005937, -0.571958, 0.820283, 0.000232, 9.000000
0.923362, 0.851930, 0.005918, 0.820305, 0.571926, 0.000458, 8.000000, 0.923230, 0.852120
0.005899, -0.571859, 0.820352, 0.000231, 9.000000, 0.923604, 0.852380, 0.005880, 0.820375
0.571826, 0.000456, 8.000000, 0.923473, 0.852569, 0.005862, -0.571759, 0.820421, 0.000230
9.000000, 0.923845, 0.852828, 0.005843, 0.820444, 0.571727, 0.000454, 8.000000, 0.923714
0.853016, 0.005825, -0.571661, 0.820490, 0.000229, 9.000000, 0.924085, 0.853274, 0.005807
0.820512, 0.571629, 0.000452, 8.000000, 0.923955, 0.853461, 0.005788, -0.571563, 0.820558
0.000228, 9.000000, 0.924324, 0.853718, 0.005770, 0.820581, 0.571531, 0.000450, 8.000000
0.924194, 0.853905, 0.005752, -0.571466, 0.820626, 0.000227, 9.000000, 0.924562, 0.854160
0.005734, 0.820648, 0.571434, 0.000448, 8.000000, 0.924433, 0.854346, 0.005716, -0.571369
0.820693, 0.000226, 9.000000, 0.924799, 0.854601, 0.005698, 0.820715, 0.571337, 0.000446
8.000000, 0.924670, 0.854785, 0.005680, -0.571273, 0.820760, 0.000225, 9.000000, 0.925034
0.855039, 0.005662, 0.820782, 0.571242, 0.000444, 8.000000, 0.924906, 0.855223, 0.005644
-0.571178, 0.820826, 0.000224, 9.000000, 0.925269, 0.855475, 0.005627, 0.820848, 0.571147
0.000442, 8.000000, 0.925141, 0.855659, 0.005609, -0.571084, 0.820892, 0.000223, 9.000000
0.925502, 0.855910, 0.005591, 0.820913, 0.571053, 0.000440, 8.000000, 0.925375, 0.856093
0.005574, -0.570990, 0.820957, 0.000223, 9.000000, 0.925735, 0.856343, 0.005557, 0.820978
0.570959, 0.000438, 8.000000, 0.925608, 0.856525, 0.005539, -0.570897, 0.821022, 0.000222
9.000000, 0.925966, 0.856773, 0.005522, 0.821043, 0.570867, 0.000436, 8.000000, 0.925840
0.856955, 0.005505, -0.570805, 0.821085, 0.000221, 9.000000, 0.926197, 0.857202, 0.005488
0.821106, 0.570775, 0.000434, 8.000000, 0.926071, 0.857383, 0.005471, -0.570714, 0.821149
0.000220, 9.000000, 0.926426, 0.857630, 0.005454, 0.821170, 0.570684, 0.000432, 8.000000
0.926301, 0.857809, 0.005437, -0.570624, 0.821212, 0.000219, 9.000000, 0.926654, 0.858055
0.005420, 0.821232, 0.570594, 0.000430, 8.000000, 0.926530, 0.858234, 0.005403, -0.570535
0.821274, 0.000218, 9.000000, 0.926881, 0.858479, 0.005386, 0.821294, 0.570505, 0.000428
8.000000, 0.926757, 0.858657, 0.005369, -0.570446, 0.821335, 0.000217, 9.000000, 0.927108
0.858900, 0.005353, 0.821355, 0.570417, 0.000426, 8.000000, 0.926984, 0.859078, 0.005336
-0.570359, 0.821396, 0.000217, 9.000000, 0.927333, 0.859320, 0.005320, 0.821416, 0.570330
0.000425, 8.000000, 0.927210, 0.859497, 0.005303, -0.570272, 0.821456, 0.000216, 9.000000
0.927557, 0.859739, 0.005287, 0.821476, 0.570243, 0.000423, 8.000000, 0.927435, 0.859915
0.005271, -0.570186, 0.821515, 0.000215, 9.000000, 0.927781, 0.860155, 0.005254, 0.821535
0.570158, 0.000421, 8.000000, 0.927659, 0.860331, 0.005238, -0.570102, 0.821574, 0.000214
9.000000, 0.928003, 0.860570, 0.005222, 0.821593, 0.570074, 0.000419, 8.000000, 
